cell_id,form_factor,anode_material,cathode_material,electrolyte_material,nominal_capacity_in_Ah,depth_of_charge,depth_of_discharge,already_spent_cycles,max_voltage_limit_in_V,min_voltage_limit_in_V,max_current_limit_in_A,min_current_limit_in_A
HUST_1-1,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_1-2,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_1-3,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_1-4,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_1-5,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_1-6,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_1-7,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_1-8,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_2-2,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_2-3,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_2-4,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_2-5,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_2-6,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_2-7,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_2-8,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_3-1,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_3-2,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_3-3,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_3-4,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_3-5,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_3-6,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_3-7,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_3-8,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_4-1,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_4-2,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_4-3,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_4-4,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_4-5,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_4-6,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_4-7,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_4-8,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_5-1,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_5-2,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_5-3,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_5-4,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_5-5,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_5-6,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_5-7,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_6-1,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_6-2,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_6-3,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_6-4,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_6-5,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_6-6,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_6-8,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_7-1,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_7-2,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_7-3,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_7-4,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_7-5,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_7-6,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_7-7,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_7-8,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_8-1,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_8-2,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_8-3,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_8-4,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_8-5,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_8-6,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_8-7,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_8-8,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_9-1,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_9-2,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_9-3,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_9-4,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_9-5,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_9-6,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_9-7,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_9-8,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_10-1,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_10-2,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_10-3,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_10-4,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_10-5,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_10-6,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_10-7,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
HUST_10-8,cylindrical_18650,graphite,LFP,,1.1,1,1,0,3.6,2,,
