cell_id,form_factor,anode_material,cathode_material,electrolyte_material,nominal_capacity_in_Ah,depth_of_charge,depth_of_discharge,already_spent_cycles,max_voltage_limit_in_V,min_voltage_limit_in_V,max_current_limit_in_A,min_current_limit_in_A
MATR_b1c0,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c1,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c2,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c3,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c4,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c5,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c6,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c7,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c9,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c11,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c14,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c15,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c16,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c17,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c18,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c19,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c20,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c21,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c23,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c24,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c25,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c26,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c27,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c28,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c29,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c30,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c31,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c32,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c33,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c34,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c35,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c36,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c37,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c38,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c39,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c40,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c41,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c42,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c43,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c44,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b1c45,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c0,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c1,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c2,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c3,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c4,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c5,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c6,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c10,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c11,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c12,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c13,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c14,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c17,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c18,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c19,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c20,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c21,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c22,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c23,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c24,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c25,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c26,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c27,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c28,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c29,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c30,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c31,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c32,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c33,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c34,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c35,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c36,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c37,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c38,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c39,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c40,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c41,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c42,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c43,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c44,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c45,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c46,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b2c47,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c0,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c1,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c3,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c4,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c5,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c6,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c7,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c8,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c9,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c10,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c11,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c12,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c13,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c14,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c15,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c16,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c17,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c18,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c19,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c20,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c21,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c22,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c24,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c25,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c26,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c27,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c28,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c29,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c30,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c31,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c33,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c34,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c35,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c36,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c38,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c39,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c40,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c41,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c44,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b3c45,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b4c0,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b4c1,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b4c2,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b4c3,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b4c4,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b4c5,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b4c6,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b4c7,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b4c8,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b4c9,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b4c10,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b4c11,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b4c12,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b4c13,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b4c14,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b4c15,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
MATR_b4c16,cylindrical_18650,graphite,LiFePO4,,1.1,1.0,1.0,0,3.5,2.0,,
