cell_id,form_factor,anode_material,cathode_material,electrolyte_material,nominal_capacity_in_Ah,depth_of_charge,depth_of_discharge,already_spent_cycles,max_voltage_limit_in_V,min_voltage_limit_in_V,max_current_limit_in_A,min_current_limit_in_A
SNL_18650_LFP_15C_0-100_0.5-2C_b,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
SNL_18650_LFP_25C_0-100_0.5-0.5C_a,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
SNL_18650_LFP_25C_0-100_0.5-1C_a,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
SNL_18650_LFP_25C_0-100_0.5-1C_b,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
SNL_18650_LFP_25C_0-100_0.5-1C_c,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
SNL_18650_LFP_25C_0-100_0.5-1C_d,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
SNL_18650_LFP_25C_0-100_0.5-2C_a,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
SNL_18650_LFP_25C_0-100_0.5-2C_b,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
SNL_18650_LFP_25C_0-100_0.5-3C_a,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
SNL_18650_LFP_25C_0-100_0.5-3C_b,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
SNL_18650_LFP_25C_0-100_0.5-3C_c,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
SNL_18650_LFP_25C_0-100_0.5-3C_d,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
SNL_18650_LFP_35C_0-100_0.5-1C_a,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
SNL_18650_LFP_35C_0-100_0.5-1C_b,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
SNL_18650_LFP_35C_0-100_0.5-1C_c,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
SNL_18650_LFP_35C_0-100_0.5-1C_d,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
SNL_18650_LFP_35C_0-100_0.5-2C_a,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
SNL_18650_LFP_35C_0-100_0.5-2C_b,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,30.0,
