cell_id,form_factor,anode_material,cathode_material,electrolyte_material,nominal_capacity_in_Ah,depth_of_charge,depth_of_discharge,already_spent_cycles,max_voltage_limit_in_V,min_voltage_limit_in_V,max_current_limit_in_A,min_current_limit_in_A
CALB_0_B182,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.2,,
CALB_0_B183,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.2,,
CALB_0_B184,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.2,,
CALB_0_B185,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.2,,
CALB_0_B187,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.2,,
CALB_0_B188,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.2,,
CALB_0_B189,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.2,,
CALB_0_B190,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.2,,
CALB_25_T25-1,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.75,,
CALB_25_T25-2,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.75,,
CALB_35_B173,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.75,,
CALB_35_B174,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.75,,
CALB_35_B175,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.75,,
CALB_35_B222,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.75,,
CALB_35_B223,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.75,,
CALB_35_B224,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.75,,
CALB_35_B227,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.75,,
CALB_35_B228,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.75,,
CALB_35_B229,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.75,,
CALB_35_B230,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.75,,
CALB_35_B247,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.75,,
CALB_35_B248,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.75,,
CALB_35_B249,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.75,,
CALB_35_B250,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.35,2.75,,
CALB_45_B253,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.25,2.5,,
CALB_45_B255,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.25,2.5,,
CALB_45_B256,Prismatic,graphite,NMC,,58,1.0,1.0,0,4.25,2.5,,
CALCE_CS2_33,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,
CALCE_CS2_34,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,
CALCE_CS2_35,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,
CALCE_CS2_36,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,
CALCE_CS2_37,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,
CALCE_CS2_38,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,
CALCE_CX2_16,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,
CALCE_CX2_33,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,
CALCE_CX2_34,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,
CALCE_CX2_35,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,
CALCE_CX2_36,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,
CALCE_CX2_37,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,
CALCE_CX2_38,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,,2.8,1.0,1.0,0,4.3,3,,
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,,2.8,1.0,1.0,0,4.3,3,,
HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,,2.8,1.0,1.0,0,4.3,3,,
