dataset,source_file,file_size_bytes,cell_id,form_factor,anode_material,cathode_material,electrolyte_material,nominal_capacity_in_Ah,depth_of_charge,depth_of_discharge,already_spent_cycles,max_voltage_limit_in_V,min_voltage_limit_in_V,max_current_limit_in_A,min_current_limit_in_A,reference,description,charge_protocol,discharge_protocol,SOC_interval,cycle_count,first_cycle_number,last_cycle_number,soc_interval_start,soc_interval_end,charge_step_count,charge_rate_min_C,charge_rate_max_C,charge_rate_mean_C,charge_current_max_A,charge_voltage_max_V,discharge_step_count,discharge_rate_min_C,discharge_rate_max_C,discharge_rate_mean_C,discharge_current_max_A,discharge_voltage_min_V,hardcoded_removed_indices,median_removed_indices
CALCE,CALCE/CALCE_CS2_33.pkl,12143404,CALCE_CS2_33,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,,,,[],[],"[0, 1]",660,1.0,660.0,0.0,1.0,0,,,,,,0,,,,,,,
CALCE,CALCE/CALCE_CS2_34.pkl,11582083,CALCE_CS2_34,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,,,,[],[],"[0, 1]",632,1.0,632.0,0.0,1.0,0,,,,,,0,,,,,,,
CALCE,CALCE/CALCE_CS2_35.pkl,10222039,CALCE_CS2_35,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,,,,[],[],"[0, 1]",780,1.0,780.0,0.0,1.0,0,,,,,,0,,,,,,,
CALCE,CALCE/CALCE_CS2_36.pkl,10552069,CALCE_CS2_36,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,,,,[],[],"[0, 1]",832,1.0,832.0,0.0,1.0,0,,,,,,0,,,,,,,
CALCE,CALCE/CALCE_CS2_37.pkl,11423935,CALCE_CS2_37,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,,,,[],[],"[0, 1]",905,1.0,905.0,0.0,1.0,0,,,,,,0,,,,,,,
CALCE,CALCE/CALCE_CS2_38.pkl,11468440,CALCE_CS2_38,prismatic,graphite,LiCoO2,,1.1,1.0,1.0,0,4.2,2.7,,,,,[],[],"[0, 1]",903,1.0,903.0,0.0,1.0,0,,,,,,0,,,,,,,
CALCE,CALCE/CALCE_CX2_16.pkl,25183338,CALCE_CX2_16,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,,,,[],[],"[0, 1]",1279,2.0,1280.0,0.0,1.0,0,,,,,,0,,,,,,,
CALCE,CALCE/CALCE_CX2_33.pkl,21107154,CALCE_CX2_33,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,,,,[],[],"[0, 1]",1271,1.0,1271.0,0.0,1.0,0,,,,,,0,,,,,,,
CALCE,CALCE/CALCE_CX2_34.pkl,16693572,CALCE_CX2_34,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,,,,[],[],"[0, 1]",1363,1.0,1363.0,0.0,1.0,0,,,,,,0,,,,,,,
CALCE,CALCE/CALCE_CX2_35.pkl,25180797,CALCE_CX2_35,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,,,,[],[],"[0, 1]",1454,1.0,1454.0,0.0,1.0,0,,,,,,0,,,,,,,
