column,dtype,non_missing_count,missing_count,missing_percent,unique_non_missing
dataset,str,941,0,0.0,13
source_file,str,941,0,0.0,941
file_size_bytes,int64,941,0,0.0,940
cell_id,str,941,0,0.0,941
form_factor,str,941,0,0.0,5
anode_material,str,941,0,0.0,3
cathode_material,str,941,0,0.0,13
electrolyte_material,object,0,941,100.0,0
nominal_capacity_in_Ah,float64,941,0,0.0,17
depth_of_charge,float64,941,0,0.0,1
depth_of_discharge,float64,941,0,0.0,1
already_spent_cycles,int64,941,0,0.0,1
max_voltage_limit_in_V,float64,941,0,0.0,5
min_voltage_limit_in_V,float64,941,0,0.0,6
max_current_limit_in_A,float64,109,832,88.417,4
min_current_limit_in_A,float64,0,941,100.0,0
reference,object,0,941,100.0,0
description,object,0,941,100.0,0
charge_protocol,str,941,0,0.0,206
discharge_protocol,str,941,0,0.0,272
SOC_interval,str,941,0,0.0,184
cycle_count,int64,941,0,0.0,719
first_cycle_number,float64,941,0,0.0,3
last_cycle_number,float64,941,0,0.0,716
soc_interval_start,float64,941,0,0.0,184
soc_interval_end,float64,941,0,0.0,2
charge_step_count,int64,941,0,0.0,4
charge_rate_min_C,float64,664,277,29.437,41
charge_rate_max_C,float64,664,277,29.437,42
charge_rate_mean_C,float64,664,277,29.437,41
charge_current_max_A,float64,48,893,94.899,1
charge_voltage_max_V,float64,125,816,86.716,2
discharge_step_count,int64,941,0,0.0,4
discharge_rate_min_C,float64,664,277,29.437,39
discharge_rate_max_C,float64,664,277,29.437,41
discharge_rate_mean_C,float64,664,277,29.437,47
discharge_current_max_A,float64,48,893,94.899,1
discharge_voltage_min_V,float64,48,893,94.899,1
hardcoded_removed_indices,str,86,855,90.861,14
median_removed_indices,str,86,855,90.861,1
