dataset,0,1,2,3,4,5,6,7,8,9,10
CALCE,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
HNEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
HUST,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISU_ILCC,0.0,34.583333333333336,0.0,22.916666666666664,0.0,0.0,0.0,13.333333333333334,0.0,0.0,29.166666666666668
MICH,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
MICH_EXP,0.0,0.0,0.0,0.0,0.0,0.0,83.33333333333334,0.0,0.0,16.666666666666664,0.0
RWTH,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
SDU,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
SNL,39.34426229508197,0.0,0.0,0.0,6.557377049180328,0.0,0.0,0.0,54.09836065573771,0.0,0.0
Stanford_2,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Tongji,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UL_PUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
XJTU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
