feature,type,missing_percent,unique_non_missing,selected,reason
nominal_capacity_in_Ah,numeric,0.0,17,True,selected
max_voltage_limit_in_V,numeric,0.0,5,True,selected
min_voltage_limit_in_V,numeric,0.0,6,True,selected
max_current_limit_in_A,numeric,88.41657810839533,4,False,too_much_missing
soc_interval_start,numeric,0.0,184,True,selected
soc_interval_end,numeric,0.0,2,True,selected
charge_step_count,numeric,10.520722635494154,3,True,selected
charge_rate_min_C,numeric,29.436769394261425,41,True,selected
charge_rate_max_C,numeric,29.436769394261425,42,True,selected
charge_rate_mean_C,numeric,29.436769394261425,41,True,selected
charge_voltage_max_V,numeric,86.7162592986185,2,False,too_much_missing
discharge_step_count,numeric,10.520722635494154,3,True,selected
discharge_rate_min_C,numeric,29.436769394261425,39,True,selected
discharge_rate_max_C,numeric,29.436769394261425,41,True,selected
discharge_rate_mean_C,numeric,29.436769394261425,47,True,selected
form_factor,categorical,0.0,5,True,selected
anode_material,categorical,0.0,2,True,selected
cathode_material,categorical,0.0,13,True,selected
