n_clusters,silhouette_mean,silhouette_std,calinski_harabasz_mean,davies_bouldin_mean,inertia_mean,stability_ari_mean,stability_ari_min,rank_silhouette,rank_calinski_harabasz,rank_davies_bouldin,rank_stability,rank_sum,selected
2,0.5781341218502408,1.1102230246251565e-16,557.6818355771495,0.45522873945399916,8713.84586319733,1.0,1.0,6.0,8.0,1.0,1.0,16.0,False
3,0.3585920586182472,0.0057053937743623126,466.90037323701563,1.2253685768565874,6960.12673686325,0.92443794062273,0.7817661735667647,14.0,14.0,14.0,9.0,51.0,False
4,0.42091528345744783,0.005194893826932045,473.45542865305634,1.0018323768956559,5520.603764727841,0.9674257914857686,0.8400335312289947,12.0,13.0,13.0,4.0,42.0,False
5,0.4155933796426078,0.0,524.1027584671613,0.9302106585802583,4287.0796235961225,1.0,1.0,13.0,12.0,10.0,1.0,36.0,False
6,0.44420027272065443,0.0016964511338380395,542.2380902282773,0.8967039222645713,3561.6312005362865,0.9590072717509953,0.8893169252403696,11.0,10.0,9.0,5.0,35.0,False
7,0.46797595760708804,0.005483661604220283,538.7073871784623,0.9385270050512264,3113.7099595926607,0.8290081891400408,0.6870626005201044,10.0,11.0,11.0,14.0,46.0,False
8,0.5014600428118896,0.004421727847255793,550.7760011965529,0.9515917536586287,2706.2736640879752,0.9330765446661701,0.8743651338028463,9.0,9.0,12.0,8.0,38.0,False
9,0.5330299948996319,0.0034787581084879263,571.3744910898118,0.8944990671986215,2352.289531862766,0.9381794950817453,0.87322434281282,8.0,7.0,8.0,7.0,30.0,False
10,0.5713339468870815,0.005771313671673754,598.6671441321391,0.8783901929615501,2046.3794807824602,0.9522861989423851,0.8632590364358014,7.0,6.0,7.0,6.0,26.0,False
11,0.590844689231705,0.0017967239164739636,608.8515912978605,0.8190182369681229,1840.3977771113234,0.9852313637702663,0.9613724113193107,5.0,4.0,2.0,3.0,14.0,True
12,0.6120022595950249,0.0072451618925648675,608.2340542513878,0.8586144066885574,1693.5062981232818,0.9094070706740458,0.8311482513103645,4.0,5.0,4.0,12.0,25.0,False
13,0.6258806447854085,0.014573655641373296,609.4216268881516,0.8622439266130687,1564.1531928764225,0.8969709413135141,0.8224003077999711,3.0,3.0,5.0,13.0,24.0,False
14,0.641926801297783,0.008890219796127368,618.3101836440215,0.8627844694687304,1436.2572455160296,0.9238903579663361,0.8497683548889636,2.0,1.0,6.0,10.0,19.0,False
15,0.6556266170522738,0.012892437302715018,617.9600630253275,0.854018507725897,1343.0887925450766,0.9213682755802345,0.8340845861269716,1.0,2.0,3.0,11.0,17.0,False
