seed,source_index,source_angle,target_angle,angle_distance,raw_alpha,source_meta_weight
0,1,0.0,20.0,20.0,0.0006654561148025095,0.260256826877594
0,2,15.0,20.0,5.0,0.0003100133908446878,0.12124481052160263
0,3,40.0,20.0,20.0,0.0015678184572607279,0.6131665706634521
0,4,70.0,20.0,50.0,0.0,0.0
0,5,100.0,20.0,80.0,1.3633095477416646e-05,0.005331840831786394
1,1,0.0,20.0,20.0,3.990482582594268e-05,0.004822402726858854
1,2,15.0,20.0,5.0,0.008201231248676777,0.9910991191864014
1,3,40.0,20.0,20.0,3.3748972782632336e-05,0.004078482277691364
1,4,70.0,20.0,50.0,0.0,0.0
1,5,100.0,20.0,80.0,0.0,0.0
2,1,0.0,20.0,20.0,0.0,0.0
2,2,15.0,20.0,5.0,0.006186090875416994,0.8325738310813904
2,3,40.0,20.0,20.0,0.0010731021175161004,0.14442670345306396
2,4,70.0,20.0,50.0,0.00017088791355490685,0.022999469190835953
2,5,100.0,20.0,80.0,0.0,0.0
