seed,method,adaptation_step,accuracy
0,pooled_supervised,0,0.8510000109672546
0,pooled_supervised,1,0.8600000143051147
0,pooled_supervised,5,0.8915000557899475
0,pooled_supervised,10,0.9085000157356262
0,best_source_S3,0,0.8570000529289246
0,best_source_S3,1,0.858500063419342
0,best_source_S3,5,0.8640000224113464
0,best_source_S3,10,0.8705000281333923
0,fomaml_oracle,0,0.9540000557899475
0,fomaml_oracle,1,0.9540000557899475
0,fomaml_oracle,5,0.9515000581741333
0,fomaml_oracle,10,0.9445000290870667
0,fomaml_rho_0.00,0,0.8415000438690186
0,fomaml_rho_0.00,1,0.8490000367164612
0,fomaml_rho_0.00,5,0.8720000386238098
0,fomaml_rho_0.00,10,0.8915000557899475
0,fomaml_rho_0.25,0,0.8690000176429749
0,fomaml_rho_0.25,1,0.8735000491142273
0,fomaml_rho_0.25,5,0.8865000605583191
0,fomaml_rho_0.25,10,0.893000066280365
0,fomaml_rho_0.50,0,0.8990000486373901
0,fomaml_rho_0.50,1,0.9000000357627869
0,fomaml_rho_0.50,5,0.8990000486373901
0,fomaml_rho_0.50,10,0.9025000333786011
0,fomaml_rho_0.75,0,0.906000018119812
0,fomaml_rho_0.75,1,0.9045000672340393
0,fomaml_rho_0.75,5,0.9065000414848328
0,fomaml_rho_0.75,10,0.9075000286102295
0,fomaml_rho_1.00,0,0.9270000457763672
0,fomaml_rho_1.00,1,0.9265000224113464
0,fomaml_rho_1.00,5,0.924500048160553
0,fomaml_rho_1.00,10,0.9220000505447388
1,pooled_supervised,0,0.859000027179718
1,pooled_supervised,1,0.8640000224113464
1,pooled_supervised,5,0.8785000443458557
1,pooled_supervised,10,0.893000066280365
1,best_source_S2,0,0.9510000348091125
1,best_source_S2,1,0.9520000219345093
1,best_source_S2,5,0.9595000743865967
1,best_source_S2,10,0.9665000438690186
1,fomaml_oracle,0,0.9635000228881836
1,fomaml_oracle,1,0.9620000720024109
1,fomaml_oracle,5,0.9605000615119934
1,fomaml_oracle,10,0.9575000405311584
1,fomaml_rho_0.00,0,0.8675000667572021
1,fomaml_rho_0.00,1,0.8715000152587891
1,fomaml_rho_0.00,5,0.8840000629425049
1,fomaml_rho_0.00,10,0.8950000405311584
1,fomaml_rho_0.25,0,0.9240000247955322
1,fomaml_rho_0.25,1,0.9240000247955322
1,fomaml_rho_0.25,5,0.9290000200271606
1,fomaml_rho_0.25,10,0.9285000562667847
1,fomaml_rho_0.50,0,0.9540000557899475
1,fomaml_rho_0.50,1,0.9540000557899475
1,fomaml_rho_0.50,5,0.95250004529953
1,fomaml_rho_0.50,10,0.9495000243186951
1,fomaml_rho_0.75,0,0.9640000462532043
1,fomaml_rho_0.75,1,0.9645000696182251
1,fomaml_rho_0.75,5,0.9625000357627869
1,fomaml_rho_0.75,10,0.9610000252723694
1,fomaml_rho_1.00,0,0.9430000185966492
1,fomaml_rho_1.00,1,0.9440000653266907
1,fomaml_rho_1.00,5,0.9500000476837158
1,fomaml_rho_1.00,10,0.9540000557899475
2,pooled_supervised,0,0.8730000257492065
2,pooled_supervised,1,0.8950000405311584
2,pooled_supervised,5,0.9395000338554382
2,pooled_supervised,10,0.9445000290870667
2,best_source_S2,0,0.956000030040741
2,best_source_S2,1,0.955500066280365
2,best_source_S2,5,0.955500066280365
2,best_source_S2,10,0.9495000243186951
2,fomaml_oracle,0,0.9585000276565552
2,fomaml_oracle,1,0.9615000486373901
2,fomaml_oracle,5,0.9720000624656677
2,fomaml_oracle,10,0.9690000414848328
2,fomaml_rho_0.00,0,0.8535000681877136
2,fomaml_rho_0.00,1,0.8670000433921814
2,fomaml_rho_0.00,5,0.9230000376701355
2,fomaml_rho_0.00,10,0.9570000171661377
2,fomaml_rho_0.25,0,0.9180000424385071
2,fomaml_rho_0.25,1,0.9260000586509705
2,fomaml_rho_0.25,5,0.9540000557899475
2,fomaml_rho_0.25,10,0.9670000672340393
2,fomaml_rho_0.50,0,0.9450000524520874
2,fomaml_rho_0.50,1,0.9530000686645508
2,fomaml_rho_0.50,5,0.9695000648498535
2,fomaml_rho_0.50,10,0.9615000486373901
2,fomaml_rho_0.75,0,0.9595000743865967
2,fomaml_rho_0.75,1,0.9655000567436218
2,fomaml_rho_0.75,5,0.9725000262260437
2,fomaml_rho_0.75,10,0.968500018119812
2,fomaml_rho_1.00,0,0.9575000405311584
2,fomaml_rho_1.00,1,0.9610000252723694
2,fomaml_rho_1.00,5,0.9690000414848328
2,fomaml_rho_1.00,10,0.9705000519752502
