method,adaptation_step,mean_accuracy,std_accuracy,num_seeds
best_source_S2,0,0.9535000324249268,0.0035355305341848568,2
best_source_S2,1,0.9537500441074371,0.0024749050914082086,2
best_source_S2,5,0.9575000703334808,0.0028284328567175876,2
best_source_S2,10,0.9580000340938568,0.012020829104337619,2
best_source_S3,0,0.8570000529289246,0.0,1
best_source_S3,1,0.858500063419342,0.0,1
best_source_S3,5,0.8640000224113464,0.0,1
best_source_S3,10,0.8705000281333923,0.0,1
fomaml_oracle,0,0.9586667021115621,0.004752176238036203,3
fomaml_oracle,1,0.9591667254765829,0.004481446482943763,3
fomaml_oracle,5,0.9613333940505981,0.010275377186661105,3
fomaml_oracle,10,0.9570000370343527,0.012257656974123843,3
fomaml_rho_0.00,0,0.8541667262713114,0.013012825300327267,3
fomaml_rho_0.00,1,0.8625000317891439,0.011905874051152565,3
fomaml_rho_0.00,5,0.89300004641215,0.026664578611366053,3
fomaml_rho_0.00,10,0.9145000378290812,0.0368476411190031,3
fomaml_rho_0.25,0,0.9036666949590048,0.030171738998132972,3
fomaml_rho_0.25,1,0.9078333775202433,0.02975034644222207,3
fomaml_rho_0.25,5,0.9231667121251425,0.03412598643083121,3
fomaml_rho_0.25,10,0.9295000632603964,0.03701013436582477,3
fomaml_rho_0.50,0,0.9326667189598083,0.02950141577906338,3
fomaml_rho_0.50,1,0.9356667200724283,0.030892301157334674,3
fomaml_rho_0.50,5,0.9403333862622579,0.03679108269114034,3
fomaml_rho_0.50,10,0.9378333687782288,0.031182264009517582,3
fomaml_rho_0.75,0,0.943166712919871,0.032265846315734766,3
fomaml_rho_0.75,1,0.9448333978652954,0.034933267288079516,3
fomaml_rho_0.75,5,0.9471667011578878,0.03557151752511223,3
fomaml_rho_0.75,10,0.9456666906674703,0.0332653429656398,3
fomaml_rho_1.00,0,0.9425000349680582,0.015256143278437634,3
fomaml_rho_1.00,1,0.9438333710034689,0.017250605485045842,3
fomaml_rho_1.00,5,0.9478333791097006,0.02232897648790592,3
fomaml_rho_1.00,10,0.9488333861033121,0.02465934693839237,3
pooled_supervised,0,0.8610000212987264,0.011135535234490377,3
pooled_supervised,1,0.8730000257492065,0.019157257215401596,3
pooled_supervised,5,0.9031667113304138,0.032129936487133214,3
pooled_supervised,10,0.9153333703676859,0.026421252693968403,3
