target_dataset,source_dataset,weight
CALB,CALCE,0.003608407685533166
CALB,HNEI,0.1695518046617508
CALB,HUST,0.0015086752828210592
CALB,ISU_ILCC,0.0015734669286757708
CALB,MATR,0.0018677107291296124
CALB,MICH,0.049031857401132584
CALB,MICH_EXP,0.20807573199272156
CALB,NA-ion,0.2073974907398224
CALB,RWTH,0.0014862462412565947
CALB,SDU,0.0034928617533296347
CALB,SNL,0.003704578150063753
CALB,Stanford,0.0018891223007813096
CALB,Stanford_2,0.001701936824247241
CALB,Tongji,0.10198011249303818
CALB,UL_PUR,0.04966575652360916
CALB,XJTU,0.08650275319814682
CALB,ZN-coin,0.10696140676736832
