target_dataset,source_dataset,weight
CALCE,CALB,0.077369324862957
CALCE,HNEI,0.012076588347554207
CALCE,HUST,0.0681694969534874
CALCE,ISU_ILCC,0.0692211240530014
CALCE,MATR,0.04514343664050102
CALCE,MICH,0.008309585973620415
CALCE,MICH_EXP,0.008478501811623573
CALCE,NA-ion,0.010815300047397614
CALCE,RWTH,0.10459533333778381
CALCE,SDU,0.08161211013793945
CALCE,SNL,0.16492629051208496
CALCE,Stanford,0.21552497148513794
CALCE,Stanford_2,0.027543680742383003
CALCE,Tongji,0.037902362644672394
CALCE,UL_PUR,0.030556997284293175
CALCE,XJTU,0.006646810099482536
CALCE,ZN-coin,0.03110801987349987
