target_dataset,source_dataset,weight
HNEI,CALB,0.04087340459227562
HNEI,CALCE,0.17030008137226105
HNEI,HUST,0.04272491857409477
HNEI,ISU_ILCC,0.03855603188276291
HNEI,MATR,0.03166668862104416
HNEI,MICH,0.03289679065346718
HNEI,MICH_EXP,0.03327556699514389
HNEI,NA-ion,0.031514935195446014
HNEI,RWTH,0.036896511912345886
HNEI,SDU,0.09313593059778214
HNEI,SNL,0.06255040317773819
HNEI,Stanford,0.21168941259384155
HNEI,Stanford_2,0.048306144773960114
HNEI,Tongji,0.047920964658260345
HNEI,UL_PUR,0.031084531918168068
HNEI,XJTU,0.026304161176085472
HNEI,ZN-coin,0.020303571596741676
