target_dataset,source_dataset,weight
HUST,CALB,0.024953121319413185
HUST,CALCE,0.08812222629785538
HUST,HNEI,0.008108310401439667
HUST,ISU_ILCC,0.07944964617490768
HUST,MATR,0.02669483795762062
HUST,MICH,0.002669637557119131
HUST,MICH_EXP,0.0027594780549407005
HUST,NA-ion,0.0047933561727404594
HUST,RWTH,0.10632166266441345
HUST,SDU,0.07701050490140915
HUST,SNL,0.30102822184562683
HUST,Stanford,0.15787650644779205
HUST,Stanford_2,0.062326643615961075
HUST,Tongji,0.0436374731361866
HUST,UL_PUR,0.0025325664319097996
HUST,XJTU,0.004552565980702639
HUST,ZN-coin,0.007163182366639376
