target_dataset,source_dataset,weight
ISU_ILCC,CALB,0.10413888096809387
ISU_ILCC,CALCE,0.09399435669183731
ISU_ILCC,HNEI,0.0011722759809345007
ISU_ILCC,HUST,0.1767452508211136
ISU_ILCC,MATR,0.057308610528707504
ISU_ILCC,MICH,0.001109878532588482
ISU_ILCC,MICH_EXP,0.0011138999834656715
ISU_ILCC,NA-ion,0.0011539815459400415
ISU_ILCC,RWTH,0.20728589594364166
ISU_ILCC,SDU,0.06681650131940842
ISU_ILCC,SNL,0.11333723366260529
ISU_ILCC,Stanford,0.027025265619158745
ISU_ILCC,Stanford_2,0.10470364987850189
ISU_ILCC,Tongji,0.040233708918094635
ISU_ILCC,UL_PUR,0.0012367257149890065
ISU_ILCC,XJTU,0.001135498285293579
ISU_ILCC,ZN-coin,0.0014883108669891953
