target_dataset,source_dataset,weight
MATR,CALB,0.0006138826720416546
MATR,CALCE,0.0016196127980947495
MATR,HNEI,0.12996827065944672
MATR,HUST,0.002194381086155772
MATR,ISU_ILCC,0.0007164496928453445
MATR,MICH,0.13409952819347382
MATR,MICH_EXP,0.1467335969209671
MATR,NA-ion,0.18102720379829407
MATR,RWTH,0.0009367585298605263
MATR,SDU,0.004486165475100279
MATR,SNL,0.004515448585152626
MATR,Stanford,0.0019124685786664486
MATR,Stanford_2,0.0008033243357203901
MATR,Tongji,0.10526129603385925
MATR,UL_PUR,0.10078287869691849
MATR,XJTU,0.12653227150440216
MATR,ZN-coin,0.05779654160141945
