target_dataset,source_dataset,weight
NA-ion,CALB,0.00821242481470108
NA-ion,CALCE,0.02365526370704174
NA-ion,HNEI,0.09911587834358215
NA-ion,HUST,0.030138419941067696
NA-ion,ISU_ILCC,0.027362952008843422
NA-ion,MATR,0.021156195551156998
NA-ion,MICH,0.06520718336105347
NA-ion,MICH_EXP,0.08621587604284286
NA-ion,RWTH,0.012012883089482784
NA-ion,SDU,0.061253465712070465
NA-ion,SNL,0.09507976472377777
NA-ion,Stanford,0.027864741161465645
NA-ion,Stanford_2,0.02899264357984066
NA-ion,Tongji,0.2160380333662033
NA-ion,UL_PUR,0.012633745558559895
NA-ion,XJTU,0.08091282099485397
NA-ion,ZN-coin,0.10414768010377884
