target_dataset,source_dataset,weight
RWTH,CALB,0.05452496558427811
RWTH,CALCE,0.23530465364456177
RWTH,HNEI,0.010464287362992764
RWTH,HUST,0.08708604425191879
RWTH,ISU_ILCC,0.049974214285612106
RWTH,MATR,0.018194105476140976
RWTH,MICH,0.006338329520076513
RWTH,MICH_EXP,0.007972770370543003
RWTH,NA-ion,0.0059519303031265736
RWTH,SDU,0.02785666659474373
RWTH,SNL,0.35975441336631775
RWTH,Stanford,0.07504452019929886
RWTH,Stanford_2,0.027776384726166725
RWTH,Tongji,0.011067925952374935
RWTH,UL_PUR,0.005935036577284336
RWTH,XJTU,0.0051179612055420876
RWTH,ZN-coin,0.011635778471827507
