target_dataset,source_dataset,weight
SDU,CALB,0.02117888629436493
SDU,CALCE,0.018228573724627495
SDU,HNEI,0.08164707571268082
SDU,HUST,0.01924353651702404
SDU,ISU_ILCC,0.015595603734254837
SDU,MATR,0.007705695927143097
SDU,MICH,0.16390466690063477
SDU,MICH_EXP,0.15601912140846252
SDU,NA-ion,0.08574466407299042
SDU,RWTH,0.010995621792972088
SDU,SNL,0.017817655578255653
SDU,Stanford,0.006988069508224726
SDU,Stanford_2,0.019154543057084084
SDU,Tongji,0.1741567850112915
SDU,UL_PUR,0.09070778638124466
SDU,XJTU,0.0949396938085556
SDU,ZN-coin,0.015971990302205086
