target_dataset,source_dataset,weight
SNL,CALB,0.011735127307474613
SNL,CALCE,0.03447553887963295
SNL,HNEI,0.08091491460800171
SNL,HUST,0.021853968501091003
SNL,ISU_ILCC,0.015604663640260696
SNL,MATR,0.04641329497098923
SNL,MICH,0.13511662185192108
SNL,MICH_EXP,0.12071386724710464
SNL,NA-ion,0.12341398745775223
SNL,RWTH,0.041051942855119705
SNL,SDU,0.011534464545547962
SNL,Stanford,0.02641892246901989
SNL,Stanford_2,0.009670871309936047
SNL,Tongji,0.020921537652611732
SNL,UL_PUR,0.1354459971189499
SNL,XJTU,0.13339754939079285
SNL,ZN-coin,0.031316809356212616
