target_dataset,source_dataset,weight
Stanford,CALB,0.07981306314468384
Stanford,CALCE,0.10221458226442337
Stanford,HNEI,0.004169231280684471
Stanford,HUST,0.20978105068206787
Stanford,ISU_ILCC,0.04895489290356636
Stanford,MATR,0.019566770642995834
Stanford,MICH,0.00394857581704855
Stanford,MICH_EXP,0.003947405144572258
Stanford,NA-ion,0.004561922512948513
Stanford,RWTH,0.032089684158563614
Stanford,SDU,0.033045314252376556
Stanford,SNL,0.011682286858558655
Stanford,Stanford_2,0.43028590083122253
Stanford,Tongji,0.004565639887005091
Stanford,UL_PUR,0.00346745434217155
Stanford,XJTU,0.004013692028820515
Stanford,ZN-coin,0.003892502747476101
