target_dataset,source_dataset,weight
Stanford_2,CALB,0.04856273904442787
Stanford_2,CALCE,0.08875661343336105
Stanford_2,HNEI,0.02027641236782074
Stanford_2,HUST,0.06461663544178009
Stanford_2,ISU_ILCC,0.08056794852018356
Stanford_2,MATR,0.034723080694675446
Stanford_2,MICH,0.025003837421536446
Stanford_2,MICH_EXP,0.024163391441106796
Stanford_2,NA-ion,0.02432122640311718
Stanford_2,RWTH,0.04052897170186043
Stanford_2,SDU,0.24439328908920288
Stanford_2,SNL,0.038132764399051666
Stanford_2,Stanford,0.11606692522764206
Stanford_2,Tongji,0.0807705894112587
Stanford_2,UL_PUR,0.017419854179024696
Stanford_2,XJTU,0.020803507417440414
Stanford_2,ZN-coin,0.030892260372638702
