target_dataset,source_dataset,weight
Tongji,CALB,0.0800529196858406
Tongji,CALCE,0.01655019074678421
Tongji,HNEI,0.18959102034568787
Tongji,HUST,0.026243483647704124
Tongji,ISU_ILCC,0.04823843017220497
Tongji,MATR,0.007999907247722149
Tongji,MICH,0.03629513829946518
Tongji,MICH_EXP,0.08212003856897354
Tongji,NA-ion,0.17205210030078888
Tongji,RWTH,0.007259592413902283
Tongji,SDU,0.08575117588043213
Tongji,SNL,0.017180241644382477
Tongji,Stanford,0.017556263133883476
Tongji,Stanford_2,0.025822071358561516
Tongji,UL_PUR,0.01896817237138748
Tongji,XJTU,0.03499637171626091
Tongji,ZN-coin,0.13332287967205048
