target_dataset,source_dataset,weight
UL_PUR,CALB,0.007661831099539995
UL_PUR,CALCE,0.009660331532359123
UL_PUR,HNEI,0.10212656110525131
UL_PUR,HUST,0.006423077546060085
UL_PUR,ISU_ILCC,0.01020677201449871
UL_PUR,MATR,0.012123405002057552
UL_PUR,MICH,0.08404140174388885
UL_PUR,MICH_EXP,0.0658523440361023
UL_PUR,NA-ion,0.08100838959217072
UL_PUR,RWTH,0.03336641192436218
UL_PUR,SDU,0.06521738320589066
UL_PUR,SNL,0.19301588833332062
UL_PUR,Stanford,0.01590788923203945
UL_PUR,Stanford_2,0.004268885590136051
UL_PUR,Tongji,0.06533897668123245
UL_PUR,XJTU,0.17025959491729736
UL_PUR,ZN-coin,0.07352083176374435
