target_dataset,source_dataset,weight
XJTU,CALB,0.007753371726721525
XJTU,CALCE,0.01480917725712061
XJTU,HNEI,0.09281899780035019
XJTU,HUST,0.008140751160681248
XJTU,ISU_ILCC,0.010051469318568707
XJTU,MATR,0.008114631287753582
XJTU,MICH,0.17387248575687408
XJTU,MICH_EXP,0.1691984236240387
XJTU,NA-ion,0.15553118288516998
XJTU,RWTH,0.0062438249588012695
XJTU,SDU,0.13566294312477112
XJTU,SNL,0.012257528491318226
XJTU,Stanford,0.0061213793233036995
XJTU,Stanford_2,0.011380238458514214
XJTU,Tongji,0.1238570585846901
XJTU,UL_PUR,0.04530761018395424
XJTU,ZN-coin,0.018878962844610214
