target_dataset,source_dataset,weight
ZN-coin,CALB,0.1789126992225647
ZN-coin,CALCE,0.08427659422159195
ZN-coin,HNEI,0.0013814112171530724
ZN-coin,HUST,0.24032437801361084
ZN-coin,ISU_ILCC,0.06467391550540924
ZN-coin,MATR,0.23211047053337097
ZN-coin,MICH,0.0014239297015592456
ZN-coin,MICH_EXP,0.0013877260498702526
ZN-coin,NA-ion,0.0014486386207863688
ZN-coin,RWTH,0.08055785298347473
ZN-coin,SDU,0.005600841250270605
ZN-coin,SNL,0.003376931184902787
ZN-coin,Stanford,0.030527543276548386
ZN-coin,Stanford_2,0.06971385329961777
ZN-coin,Tongji,0.001532910973764956
ZN-coin,UL_PUR,0.0012715389020740986
ZN-coin,XJTU,0.0014787510735914111
